 do not satisfy 	 is not consistent with 
 we do n't want 	 we do not want 
 do n't even know why 	 'm not even sure why 
 n't touch anything 	 not be touching anything 
 unless otherwise directed 	 if not otherwise stated 
 , we have not 	 we are n't 
 is not part 	 does not depend 
 clearly stated 	 clearly not 
 i did not ! 	 you do n't know him ? 
 it matters not 	 - never mind 
 will certainly not 	 is not going 
 have so far been 	 have not done so to 
 do n't talk like that 	 'm not saying that 
 maybe it was 	 or may not be 
 , which can not be 	 , which can only be 
 not readily available 	 not available 
 not intended to 	 not something 
 does not explain how 	 does n't explain how 
 i do n't cry 	 i 'm not crying 
 i 'm just not ready 	 i 'm not ready yet 
 - this is different 	 - it 's not the same 
 n't already 	 is still not 
 really exist 	 not there is 
 'm not laughing 	 do n't laugh 
 did not return 	 are no longer 
 ' course not 	 well , of course not 
 'm just not going to get 	 'm not 
 proposal did not receive 	 proposal was not 
 why would i mind 	 why is itnot working 
 'm not there 	 'm not here 
 ai n't easy 	 are not easy 
 least - 	 are not so 
 over , gentlemen 	 not gonna happen this time 
 i 'm not that strong 	 i 'm not strong enough 
 not . 	 yes , i am . 
 amount shown 	 amount not 
 nothing was 	 not to have been 
 does not define 	 does not provide 
 oh , yeah , man 	 not checking in , yes 
 not convinced that 	 not certain that 
 just why them 	 why is itnot working 
 just have n't 	 there has not 
 are most often 	 are often not 
 is n't always 	 's not always 
 do not exclude 	 would not preclude 
 does not change , 	 does not alter the 
 not sustainable . 	 unsustainable . 
 , it had not 	 , it 's not 
 i 'm not gonna stay calm 	 - it 's not broken 
 only of 	 is not just 
 's still not 	 is not yet 
 do not apply 	 does not extend 
 the government failed 	 the government may not 
 , are not 	 does not come 
 i did not intend to 	 i am not going to 
 runs contrary 	 not contrary 
 just listen 	 you 're not listening to me 
 is n't even 	 's not even 
 it is not always possible 	 it is not always feasible 
 corporation is not 	 company did not 
 , do n't do 	 'm not doing 
 not be reached 	 n't , jeffrey 
 n't believe this 	 not be happening 
 and it 's not 	 this does not 
 , but that does n't 	 , but it 's not 
 nothing 's wrong 	 it 's not working 
 did not submit any 	 did not provide a 
 it is 	 it 's not 
 n't happening . 	 not like that . 
 required 	 not 
 that it is not possible to 	 that it is impossible 
 - not really , no 	 - not exactly 
 , including , inter 	 including , but not limited 
 do n't say that 	 not saying that 
 , you did n't . 	 , it is not true . 
 committee without 	 the commission does not 
 why you say 	 why is itnot working 
 notably to 	 including , but not limited to 
 is n't happening 	 's not an option 
 no , i 'm not . 	 no , it 's not . 
 it should be remembered 	 it should not be forgotten 
 n't even care 	 not fucking interested 
 are n't my 	 's not my 
 considered as not voting . 	 regarded as not voting . 
 commission 's proposal does not 	 commission proposal does not 
 are beyond 	 're not in 
 the author did not 	 the complainant has not 
 - i do n't want to 	 i am not 
 do not modify 	 does not alter 
 i do not think that we 	 i do not believe that we 
 the council will not 	 the council failed 
 whether the claim is admissible 	 whether or not it is admissible 
 , is n't 	 is also not 
 not because 	 i am not 
 could never have 	 had not been possible to 
 'm not feeling well . 	 do n't feel so good . 
 do not move . 	 do n't fucking move . 
 it does n't work like that 	 that 's not how it works 
 i 'm sorry about the lamb 	 no , you did not 
 i do not wish to 	 i 'm not going 
 no earlier 	 not before 
 is not satisfied with 	 is dissatisfied with 
 not another 	 is n't a 
 do not know who 	 do n't know who 
 everything is not always about me 	 i did not 
 not examine the 	 not consider the 
 're kidding , right 	 'm not kidding 
 author is not present , 	 author is absent , 
 i do n't understand why 	 i do not understand why 
 , and we are not 	 and we 're not 
 do not fuck with 	 ai n't fucking with 
 i ca n't do 	 i can not do 
 non-member countries 	 countries not members 
 do not worry , 	 do n't worry , 
 no , there 's not 	 she lied to you 
 not the way 	 is not so 
 from the crippled children 	 - not a classic , no 
 he or she has not 	 he could n't have 
 complainant has failed to 	 complainant did not 
 - no , not now . 	 no , not right now . 
 different now 	 not changed 
 had not yet received 	 had not received 
 , but is not limited to 	 , but not exclusively 
 she is not 	 she is n't 
 sometimes , yes 	 sometimes , not always 
 -i 'm not lying 	 i 'm not 
 not later than the 	 goes far beyond the 
 do not succeed in 	 are not able 
 do not know that 	 are not aware that 
 i am not jealous 	 i 'm not jealous 
 but he is 	 he 's not 
 corresponds to the 	 does not reflect the 
 i 'm not finished 	 i have n't finished yet 
 it not only 	 this is neither 
 not be confined 	 not only 
 were ? 	 're not ? 
 not regard 	 considers that it is 
 discussions among 	 not discussed 
 not be applied 	 not covered 
 not changed 	 still the same 
 not have the authority to 	 not have jurisdiction to 
 i 'm not related to you 	 i 'm not your father 
 would identify 	 did not determine 
 deemed not 	 considered to 
 was a need 	 is not important 
 go now , go 	 - he 's not going anywhere 
 not surprising . 	 no wonder . 
 it would be inappropriate 	 it would not be appropriate to 
 's not here right now 	 's not in there 
 why is that bullshit 	 why not liked 
 not more than three 	 not exceeding three 
 process requires 	 requires not 
 can not not 	 can not be allowed 
 no need for 	 not be required 
 does not become 	 is not 
 not successful 	 unsuccessful 
 was not appropriate 	 shall not 
 are devoid of 	 were not of 
 no one ever has 	 - that 's not gonna happen 
 obligated to 	 can not help but 
 shall not exclude the 	 shall not preclude the 
 that iran has failed 	 that iran has not 
 were not required to 	 do not have to 
 non-governmental organizations -lrb- 	 organizations not 
 policy measures , 	 measures not 
 i do not say 	 i 'm not saying 
 is not supported by 	 did not follow 
 , they were not 	 , they have n't 
 have n't always 	 had not always 
 it is no accident 	 not by chance 
 are not currently 	 not yet 
 not asking you 	 n't ask you 
 indicator light does not 	 the indicator does not 
 not less favourable 	 no less favorable 
 why do you like boston 	 why not liked 
 i 'm not ready 	 still has n't called 
 we are n't 	 we are not 
 maximum period of three 	 period not exceeding three 
 commission does not intend 	 commission has no intention 
 does not arise . 	 does not exist . 
 shall only 	 are not able to 
 but had not 	 but it does n't 
 never left 	 did not leave 
 that europe can not 	 that the european union can not 
 , i am not going to 	 i 'm not going 
 does not consider it 	 he did not believe 
 why the hell not ? 	 well , why not ? 
 only is 	 it was not until 
 canada is not 	 he 's not 
 it is undeniable that 	 it can not be denied that 
 was that 	 is not only 
 not there 	 is n't it 
 i 'm there 	 i 'm not going anywhere 
 is not a matter 	 is n't 
 that are incompatible 	 which are not compatible 
 i ca n't ! 	 i am not ! 
 are not talking 	 is not 
 - what are you 	 no , that 's not 
 actually , no 	 not it is 
 i rather doubt 	 i am not sure 
 was not included in 	 does n't contain 
 it was not enough 	 sufficient for 
 that ai n't right 	 this is not fair 
 because it is impossible 	 because it is not possible 
 able , 	 not been possible 
 , you do not 	 does not constitute 
 that fails 	 that can not be 
 do not apply to the 	 does not include the 
 , nor a 	 there has not 
 not disturbing you 	 n't mind 
 crucial not 	 important not 
 is still pending 	 have not yet done so 
 can not in any 	 can not under any 
 not yet in 	 is still not 
 well , it is 	 no , i 'm not kidding 
 countries around the world , 	 country , not 
 has not had 	 've had 
 , not exactly 	 not really 
 , i would n't have 	 , i would not have 
 , not an 	 , instead of being 
 were going 	 're not gonna 
 'm not feeling good . 	 do n't feel very well . 
 is , perhaps , 	 may not be 
 you have nothing to 	 you 're not supposed to 
 if we are not able 	 if we fail 
 " we do not 	 " we do n't 
 is uncommon 	 is not often 
 i was not able to 	 i was n't able 
 domestic remedies have not 	 local remedies need not 
 most is 	 , not least , 
 one can . 	 is not possible . 
 that 's none of your business 	 this is not your business 
 not mentioned in 	 not listed in 
 i 'm not your 	 i am not your 
 i 've no 	 i did not 
 had decided not to 	 decided against 
 was not present at the 	 did not attend the 
 it will not 	 is not only 
 - no , i was n't 	 - that 's not fair 
 is not too late . 	 's not too late . 
 did not fall within 	 not covered by 
 , i am not persuaded 	 , i am not convinced 
 n't call miller 	 not be allowed 
 sometimes , not always . 	 sometimes , yes . 
 correspond to 	 not only conforms to 
 , we 're not going 	 we ca n't 
 it is common 	 but it 's not 
 , not really . 	 , not exactly . 
 useless , all right 	 not needed 
 and was no 	 however , he did not 
 'm not entirely sure 	 'm not sure 
 ... ... it is 	 , it 's not 
 if that 's not 	 if it is n't 
 not all differences in 	 not all differentiations in 
 be included in 	 is not in 
 we are agreed 	 no , you 're not 
 not be restricted 	 not be limited 
 , not right now . 	 , not now . 
 'm not playing games with 	 'm not playing with 
 're not supposed to 	 are prohibited from 
 decides not to discuss 	 decided not to discuss 
 who had not 	 that are not yet 
 n't do 	 not doing 
 are n't gonna 	 would not 
 are inadmissible 	 it is not acceptable 
 not demand 	 not asking 
 do n't really 	 is not to be 
 refusing to 	 are not prepared to 
 not working for you 	 not right 
 not looking 	 n't look now 
 or non 	 or not there is 
 by less 	 are not so 
 currently working on 	 not currently 
 it is not yet clear 	 it is not yet 
 commonly understood 	 not unusual 
 not wearing 	 not maintain 
 but he 's not 	 i am not the 
 that 's what i was thinking 	 i thought not 
 does not reach 	 do not achieve 
 yes ... 	 not checking in , yes . 
 - locked it down 	 oh , no , not sid 
 is not possible to 	 know you ca n't 
 brussels and not 	 brussels rather than 
 n't be happening 	 not be possible 
 you 're not my father 	 you 're not my dad 
 must not lose 	 not allowed to 
 , absolutely not 	 matter which is 
 and non 	 , and it does not 
 did not indicate 	 does not show 
 i 'm not going anywhere . 	 i 'm there . 
 this is not a matter 	 this is not a question 
 - does not 	 no , we do n't 
 only because 	 was not until 
 is unacceptable that 	 is not acceptable for 
 no , emphatically not 	 - were you followed 
 she had n't 	 she had not 
 not exceed the 	 is within the 
 no , you did not 	 no , do not pursue 
 rather difficult to 	 it is not easy to 
 not recognize the 	 not recognise the 
 are not our 	 are n't our 
 amount not 	 amount shown 
 have not changed 	 is unchanged 
 does not cover the 	 does not include 
 a little 	 is not very 
 permitting , 	 not allow for 
 is unworthy 	 is not worthy 
 n't belong to us 	 not belong to us 
 , excluded 	 not included 
 was not new 	 is nothing new 
 before using 	 , not later than 
 must bear in 	 this is not about 
 did not seem to 	 does n't seem to 
 law does not 	 legislation does not 
 that he is not 	 that it 's not 
 i see 	 i 'm not seeing 
 unless we have 	 if we do not have 
 the parties are unable to agree 	 the parties can not agree 
 that is not all . 	 that ai n't all . 
 considerable amount of 	 is not less 
 only in 	 it was not until 
 i did n't know that . 	 i 'm not sure . 
 because it 's a 	 this is not a 
 knowledge are 	 know not 
 is sparsely 	 is not very 
 help prevent 	 does not permit 
 you mean what do i mean 	 you mean i 'm not helping 
 not so sure . 	 my doubts . 
 no , whit 	 not after seeing you 
 why not you ? 	 why ca n't you ? 
 not necessary . 	 no need . 
 was not reasonable 	 was unreasonable 
 are inconsistent with 	 does not fit 
 , it is not true . 	 , i 'm not . 
 you 're not sure 	 you are unsure 
 i should n't be 	 i ought not to be 
 have yet to be 	 had not been 
 -it is 	 -no , i 'm not 
 difficult it was 	 it is not easy 
 only slightly 	 are not very 
 , including through the 	 , not least in the 
 does not prejudice 	 does not violate 
 that iran has not 	 that iran has failed 
 will not take place 	 will not be achieved 
 oh , come on 	 that is not true 
 i do n't follow 	 i 'm not following you 
 n't move anywhere 	 not moving 
 not present today 	 not here today 
 no impact on 	 not affected 
 the applicant has not 	 the claimant has failed 
 that they 're not 	 that they are not 
 also including 	 and not least 
 it ca n't be true 	 but this is not possible 
 falls outside 	 are not part of 
 , not as 	 is n't as 
 not any more . 	 no longer . 
 not to use the following 	 not to use the 
 the matter has not 	 the case has not 
 'm not saying that . 	 did n't mean that . 
 that the appellant failed 	 that the appellant did not 
 are not sufficient 	 falls short 
 was neither 	 were not 
 n't come . 	 not coming . 
 is not enough for 	 is not sufficient that 
 do n't know about this 	 'm not kidding 
 , which have not yet 	 which are still 
 is absent from 	 is not on 
 're not doing 	 has n't been 
 failed to comply with 	 does not fit 
 does n't always 	 can not always 
 's the matter with you 	 's not working 
 does not feature 	 was not included 
 could not be 	 is insufficient 
 do n't cry . 	 'm not crying . 
 i would not have 	 i would n't have 
 does n't contain 	 does not include 
 n't really give a fuck 	 not fucking interested 
 never had the 	 did not have the 
 approach does not 	 method does not 
 most are 	 , not least , 
 otherwise provided 	 they are not 
 not decrease 	 not diminish 
 problem not 	 issue does not 
 does not replace 	 is not a substitute for the 
 is quite unacceptable 	 can not be accepted 
 n- no 	 not 
 understood as 	 did not understand 
 not fair 	 not right 
 's taking 	 not taking 
 not panicking 	 n't be frightened 
 we are not going to 	 we 're not 
 's not me ! 	 did n't do it ! 
 it 's not possible . 	 no , that 's impossible . 
 not fair to 	 not right to 
 of the minimum 	 , but is not limited 
 do not exist . 	 do n't exist . 
 of knowing whether 	 as to whether or not 
 why should i back off 	 why not liked 
 not normal 	 abnormal 
 apart from this , 	 not only is 
 , but it is 	 , though not 
 , most particularly 	 , including but not limited 
 not verify 	 not check 
 not so fast , stu ! 	 not so fast ! 
 said he did 	 no , he 's not 
 is set aside 	 is not accepted 
 'd rather not . 	 rather not . 
 if i 'm not mistaken 	 if i am not mistaken 
 not friends 	 n't want to be friends 
 -lrb- although not 	 -lrb- though not 
 may only be used 	 could not be used 
 , it is not possible to 	 one can not 
 , but has 	 however , it did not 
 , i would n't be 	 i would not be 
 is n't our 	 is not the 
 currently not 	 this is likely 
 n't be scared 	 not scared 
 n't my thing 	 not my thing 
 is entitled 	 will not be able 
 it 's just not fair 	 this is n't fair 
 rather than 	 but was not 
 have yet been 	 have not done so 
 be sufficient . 	 is not enough . 
 , i do n't . 	 , i did not . 
 are you not feeling well ? 	 do n't you feel well ? 
 do n't feel like 	 're not going to 
 resolution is not 	 decision is not 
 course not 	 that are not 
 was just gonna 	 'm not gonna 
 is involved 	 are not possible 
 not be alarmed . 	 n't be alarmed . 
 that there was no need to 	 that it was not necessary 
 was not obliged 	 will not need to 
 - i 'm serious , robert 	 i 'm not kidding 
 that do not want to 	 who do not wish to 
 , could not 	 not allowed to 
 she looks quite capable , no 	 no , emphatically not 
 must not forget that 	 must n't forget that 
 we have still not 	 we have yet to 
 are in fact 	 not actually 
 is thought to 	 appear not to 
 but why is 	 well , why not 
 activities not prohibited 	 acts not prohibited 
 i could n't standto 	 i did not want 
 of course , i did n't 	 of course it 's not real 
 democracy is not 	 democracy is not only 
 not applicable , 	 not apply , 
 yes , brodie 	 not checking in , yes 
 not alter the 	 not modify the 
 rejected by 	 does not accept 
 not win 	 not being 
 you choose not 	 you decide not to 
 commission is not 	 committee did 
 n't married 	 not married 
 not require written answers 	 not require written responses 
 oh no . 	 no , it is not . 
 no greater than 	 not more than 
 is still there 	 'm not leaving 
 you 're kidding . 	 this is not true . 
 's not human . 	 is n't human . 
 and can only 	 and are not to 
 i did n't get you 	 i 'm not following you 
 are not contrary 	 are not inconsistent 
 is inconsistent 	 's not 
 not reply to 	 not respond to the 
 it does not work 	 it does not operate 
 am not afraid . 	 'm not scared . 
 or maybe not . 	 well , maybe not . 
 not automatically mean 	 not automatically 
 you are . 	 no , it 's not . 
 why , what is it 	 why is itnot working 
 were unable 	 can not be allowed to 
 it is different 	 it 's not the same 
 , it should not 	 , it is important not to 
 ai n't true . 	 is not the case . 
 parties shall not be obliged 	 parties shall not be bound 
 shall not have the right to 	 is not entitled to 
 failing to meet 	 can not meet 
 can still 	 are not yet 
 am not persuaded that the 	 am not convinced that the 
 those conditions are not 	 these requirements are not 
 this is wrong . 	 that 's not good . 
 , is it not ? 	 , ca n't you ? 
 , is still 	 is not too 
 but i do n't understand 	 but i do not understand 
 is hazardous 	 is not safe 
 is not just a matter 	 is not only 
 do not allow us 	 are not adequate 
 it never ends 	 he 's not available , ever 
 it has not been able to 	 you were unable to 
 , but less 	 but had not 
 that 's not what 	 this is n't what 
 , why are you 	 well , why not 
 did n't you 	 do not have any 
 being examined 	 are not treated 
 costs not 	 costs , charges 
 does not mean , however , 	 does not mean 
 not at present 	 not today 
 be possible to 	 was not able to 
 was no need 	 does not necessarily 
 involved in 	 will not take part in 
 oh ... yes 	 not checking in , yes 
 do not view 	 not considered 
 , but i did n't . 	 , but i 'm not . 
 is something wrong , harry 	 but generally not 
 he does 	 no , i 'm not kidding 
 it 's not gonna be 	 it 's not going to be 
 -rrb- should not 	 is not likely 
 was not sure 	 is doubtful 
 i do n't think 	 i do not think 
 now exists 	 or not there is 
 there 's something wrong . 	 something 's not right . 
 because i did n't 	 so as not 
 , i 'm not saying 	 , i would n't say 
 did not know that 	 was n't aware that 
 's not uncommon 	 is not rare 
 was not limited 	 be confined 
 does not always 	 does n't always 
 's wrong . 	 is not true . 
 we have not yet 	 we have not 
 feel a little 	 not feeling 
 is no surprise that 	 is not surprising that 
 least another 	 are not so 
 did not reach 	 has not achieved 
 not remember 	 forget is 
 not quite 	 was not to 
 organizations shall not exercise their right 	 shall not exercise their right 
 does not extend to 	 are not subject to 
 promote further 	 promote not 
 it does not mean 	 it does n't mean 
 what , uh , what happened 	 why not , sir knight 
 , did n't they ? 	 , is not it ? 
 not up 	 not yet been 
 not selling 	 n't selling 
 you do n't have to 	 you do not have to 
 it is not certain 	 is not clear 
 now only 	 it was not until 
 not capable 	 that are unable 
 this does n't matter 	 it is not important 
 after only 	 it was not until the 
 determining whether or not 	 be seen whether 
 n't move 	 not going anywhere 
 is n't one 	 's not one 
 shall be obliged to 	 shall not be required to 
 not clear 	 it is difficult to 
 is very wrong here . 	 's not right . 
 , has n't it ? 	 , was it not ? 
 yes , a telex 	 not checking in , yes 
 does not distinguish 	 does not differentiate 
 is operated 	 are not working 
 n't possible 	 not been possible 
 are not part 	 does not depend 
 's not going to work 	 is n't gonna work 
 failed to create 	 you can not create 
 that the complainants did not 	 that the authors have not 
 has not been met 	 is not satisfied 
 he is unrepresented 	 he is not represented 
 who are n't 	 that have not been 
 not if i can help it 	 not if i can avoid it 
 no , you 're not . 	 no , you did n't . 
 clear is 	 clearly not 
 we are not in agreement 	 we disagree 
 we 're not alone . 	 we are not alone . 
 , not really 	 , not quite 
 i wo n't . 	 i am not . 
 'm going to take 	 'm not taking 
 not be needed 	 not be necessary 
 'm having 	 're not in 
 now , there 's 	 there are not 
 they do not want to 	 they do n't want to 
 it is common ground that 	 it is not disputed that 
 is not working properly . 	 is not functioning properly . 
 , there still remains 	 , there 's not 
 not an issue 	 not a point 
 the evidence is not sufficient 	 the evidence is insufficient 
 or has not 	 or otherwise of 
 n't for you 	 not for you 
 - oh , not 	 - this is not 
 i do n't see how 	 i do not see how 
 does not contribute to 	 does nothing to 
 been recently 	 not long ago , 
 it 's not very 	 it is not too 
 - are you all right ? 	 not so bad . 
 should be required to 	 can not fail to 
 he is not a 	 it 's not a 
 but not right away 	 but not just yet 
 's no easy way 	 's not easy 
 not submit 	 been no 
 is no point in 	 do not need to 
 was not present 	 did not fall 
 ca n't believe it 	 can not be achieved 
 what 's not 	 why is n't it 
 no , i got 	 not , it is 
 . in particular , 	 , including but not limited 
 was n't the 	 is not a 
 were restricted 	 are not confined 
 n't dream 	 not dreaming 
 commission can only 	 commission does not 
 - well , why not ? 	 - sure , why not ? 
 was an issue 	 's not a question 
 mm , no 	 not after seeing you 
 not including 	 it excludes 
 are not prepared to 	 would not like to 
 i 'm not in 	 i ai n't got 
 although there is 	 not even if 
 not satisfied 	 not be enough 
 is not the 	 ai n't the 
 not compatible with the 	 incompatible with the 
 if they do not i 	 if i do n't , i 
 be enough 	 are not adequate 
 then god does not exist 	 there is no god 
 that not everybody 	 that not all 
 not to tear 	 not to break 
 don t 	 does not and 
 " not 	 , " the spokesman said 
 , are n't ya ? 	 , was he not ? 
 it is not permitted to 	 are not allowed 
 it 's all yours 	 - he 's not going anywhere 
 or fails to 	 or not there is 
 should not be considered 	 should not be seen as 
 - and you said nothing 	 not schweinhafen 
 claimant has not 	 complainant did not 
 oh , i 'm so sorry 	 i 'm sorry i did not 
 're not listening to me 	 wo n't listen to me 
 it is not what 	 that 's not how 
 not done 	 not yet done 
 not producing 	 not generate 
 let us not forget that the 	 we must not forget that the 
 did not create 	 does not establish 
 of states members 	 not members 
 - i only 	 - i am not 
 not to my knowledge . 	 not that i know of . 
 is never 	 is therefore not 
 that the claimant has not 	 that the claimant has failed 
 not sure that 	 not certain that 
 did not fulfil 	 did not meet 
 but she did not 	 but she would n't 
 sorry , sir 	 sorry i did not 
 am not playing . 	 'm not playing . 
 not , of course 	 are naturally 
 just is n't 	 no , i 'm not 
 yes ... yes 	 not checking in , yes 
 the acts do not 	 the facts do not 
 revenue not 	 income not 
 you mean , i 'm funny 	 you mean i 'm not helping 
 she does n't have 	 they do not have 
 not worried 	 n't be afraid 
 is submitted that 	 do not consider that 
 , there were 	 we 're not 
 - not ever 	 - no , never 
 i am not persuaded that 	 i am not convinced that 
 less that 	 are not so 
 does not include 	 does n't understand 
 it had no intention to 	 it does not intend to 
 this is not a drill 	 this is not an exercise 
 are not affected 	 does not apply 
 that 's not what i meant 	 i did n't mean that 
 n't real 	 not shooting in singapore 
 no , it 's not a 	 it is not by 
 been able to find 	 could not find 
 - understood 	 no , l'm not 
 not ? 	 , does n't he ? 
 not requiring 	 did not need 
 is not eligible 	 is unable 
 not take into account 	 not counting 
 i do not believe so 	 i do not think so 
 - that is n't 	 - you 're not 
 that did it 	 you 're not gonna believe it 
 , it is not clear whether 	 it is not known whether 
 not the fact 	 no , it is n't 
 could not recall 	 did not remember 
 , unless 	 if you are not 
 was not yet known 	 was not known 
 , last but not least , 	 , not least , 
 yes , it is 	 i 'm not 
 i am no one 	 they 're not here 
 she 's not gonna 	 she 's not going 
 holy shit 	 that is so not true 
 is not considered as 	 is not seen as 
 , rather than an 	 , and was not 
 stop moving 	 do not move 
 are not in accordance with the 	 do not meet the 
 made it impossible to 	 could not be 
 they should not be 	 they are unable 
 are not in line with 	 does not correspond to 
 to be less than 	 were not very 
 been not 	 not a case of 
 not be right 	 not be accepted 
 have n't we ? 	 are you not ? 
 was not only 	 goes beyond 
 which do not comply with 	 who do not respect 
 do not have access 	 are not available 
 do not believe that the 	 do not think the 
 not less than 21 	 at least 21 
 not oppose the 	 had no objection 
 now , i have 	 i did not 
 did n't think 	 did not know that 
 no impact on the 	 not affect the 
 was n't our 	 's not the 
 not yet done so 	 not contain any 
 that ca n't be right . 	 that is not possible . 
 that 's not the point 	 that is enough 
 become eligible 	 is not eligible 
 can not be denied that 	 is undeniable that 
 , not less than 	 no fewer than 
 and not necessarily 	 although not necessarily 
 not attend school 	 not go to school 
 mean not 	 , including not 
 is no way of knowing 	 is not possible to know 
 will not appear in 	 is not on 
 did n't have a 	 has not had a 
 'm not hearing 	 hear any 
 is unsustainable 	 is not sustainable 
 oh , not 	 this is nothing 
 i 'm not working 	 i do n't work 
 were frequently 	 is not always 
 's not going anywhere 	 do n't go anywhere 
 did not contribute 	 is not involved 
 have not attained 	 did not achieve 
 when you ca n't 	 where it is not possible 
 has not received 	 did not have 
 it would not be possible 	 not allowed to 
 it is expected to 	 it is not anticipated 
 's not a good 	 is not the right 
 , is n't that right ? 	 , is he not ? 
 are not trying to 	 was not to 
 role is not 	 function is not 
 you are kidding me 	 you 're not serious 
 , was unable to 	 he could not 
 's not what 	 is n't how 
 has n't it 	 was it not 
 's not true . 	 is n't true . 
 are not part of the 	 are outside the 
 - probably not 	 - are you sure 
 gonna take 	 'm not taking 
 yes , ganthet 	 not checking in , yes 
 no , it has n't 	 no , i did not 
 , you must n't 	 , you must not 
 no , i fucking do n't 	 i 'm not a dream 
 , not only in the 	 , and not just in 
 does not generate any 	 does not create 
 is not approved 	 is negatived 
 , but you did n't 	 , but is not 
 it is not the first 	 this is n't the first 
 irrelevant to 	 not related to 
 , you 're 	 , you are not 
 exception rather than 	 exception , not 
 n't an 	 is not a 
 're thinking 	 're not suggesting 
 is not expected to be 	 should n't be 
 it does not matter . 	 - never mind . 
 this is not a 	 it 's a 
 not your father 	 not your dad 
 shall not prejudice the 	 shall not affect the 
 no ... geez 	 not after seeing you 
 it was not necessary to 	 no need 
 , you 're not going 	 you ca n't 
 - she 's not 	 -no , it is n't 
 been enough 	 was not sufficient 
 not spend 	 not be used 
 claimant failed 	 claimant did not 
 do n't feel very 	 'm not feeling very 
 not to neglect 	 not to overlook 
 is to know whether 	 is whether or not 
 yeah : 	 not checking in , yes . 
 not against 	 not opposed to 
 question which is 	 , absolutely not 
 and can not be edited 	 and can not be changed 
 , no 	 not permitted 
 yes , they do 	 no , i 'm not kidding 
 fact that we can not 	 that we can not 
 of no more than 	 , not exceeding 
 is clearly not 	 is by no means 
 they were 	 they 're not 
 agreed to 	 decided not to 
 lacked sufficient 	 is not sufficiently 
 why would you lie to me 	 why not liked 
 do not respect 	 does not satisfy 
 not that i recall 	 not that i can remember 
 i do n't follow you . 	 i 'm not following you . 
 - no , it is n't 	 i 'm not 
 will not be achieved 	 are not met 
 not there . 	 not here ! 
 nor have they 	 and they did not 
 it would not be possible to 	 it was unable 
 countries that have not 	 states that had not 
 i was n't gonna touch it 	 -no , it 's not 
 , perhaps not 	 , maybe not 
 has not yet started 	 has not yet begun 
 'm not goin ' 	 'm not going 
 not that i know of 	 not that i 'm aware of 
 it was never 	 no , that 's not 
 no , you wo n't 	 no , it is not 
 appears as 	 there does not appear to 
 is both 	 is not only 
 we still do not have 	 we do not yet have 
 can not be selected 	 ca n't be selected 
 not be an option 	 not be achieved 
 that 's a lie 	 that is not true , cypher 
 but i do not believe 	 but i do not think 
 is not reasonable 	 unreasonable 
 i do not have a 	 i do n't have a 
 should not apply to 	 are not applicable to 
 who wants to know ? 	 why not liked ? 
 was n't here 	 's not here 
 just yet 	 not yet been 
 's not picking up . 	 's not answering . 
 'm here ! 	 'm not going anywhere . 
 but i 'm not 	 but he is n't 
 was obliged to 	 can not fail to 
 ... ... and not 	 and did n't 
 , do not hesitate to 	 , please do not hesitate to 
 actually used 	 used not only 
 discussion of 	 not discussed 
 it 's just not 	 that is not 
 - i did n't 	 that 's not me 
 , although no 	 , albeit not 
 but he is n't 	 but i 'm not 
 are excluded . 	 are not included . 
 was not obliged to 	 should refrain from 
 not resolve 	 solving of 
 said that no 	 that not 
 malfunctions 	 is not functioning properly 
 not envisage 	 not going 
 did not exclude 	 does not rule out the 
 made less 	 was not so 
 shall remain 	 is still not 
 'm not sleeping . 	 'm not asleep . 
 or from the 	 is not part of the 
 are not the 	 it 's really not 
 who fail to 	 who is not 
 it is not part 	 she is not a member 
 no , not right now . 	 no , not now . 
 nevertheless , it is 	 it is not 
 choose not to 	 refuses to 
 it 's not right 	 - it 's not fair 
 it is questionable whether 	 whether or not any 
 not a good time 	 this is no time 
 is therefore not possible to 	 is therefore impossible to 
 sorry i did n't 	 sorry for not 
 of knowing if 	 of whether or not 
 , the commission did not 	 , the board did 
 not exactly a 	 n't really a 
 n't able 	 not been possible to 
 wo n't be necessary . 	 is not necessary . 
 not be in a position 	 not be able 
 is weak 	 is not sufficient 
 i do not think there 	 i do not believe we 
 - listen to me 	 you 're not listening 
 no wonder 	 it is not surprising that 
 author has not sufficiently substantiated 	 author has not substantiated 
 that 's not good enough . 	 it 's not enough . 
 was n't you 	 's not yours 
 do not refer to 	 does not constitute 
 have not understood 	 failed to understand 
 it is not always easy 	 it 's not always easy 
 to stay 	 'm not going anywhere 
 not have access 	 having no 
 - yes , actually 	 not checking in , yes 
 i am not convinced 	 i am not satisfied 
 it is difficult to say 	 it is not clear 
 did not reflect 	 does not equal 
 he could n't 	 he had not 
 - no , that 's 	 not , it is 
 seeking to 	 are not trying 
 so it does 	 no , it 's not 
 that is not much time 	 -we do n't have much time 
 is n't all . 	 's not all . 
 no the now , anyway 	 this is not a good time 
 be possible 	 is not able 
 have not been completely 	 have not been fully 
 i 'm not afraid . 	 i 'm not scared . 
 it is mainly 	 particularly not 
 not having 	 was not formally 
 was not convinced that 	 do n't believe that 
 convention was not 	 agreement does not 
 which do not appear in 	 that is not provided in 
 - it 's not safe 	 - this is dangerous 
 not of 	 are n't you 
 , we do not agree 	 , we disagree 
 that not everyone 	 that not all 
 , and are not 	 , rather than being 
 commission can not , 	 commission is unable 
